アスレチックス＆スポーツ	アスレチックス＆スポーツ	アウトドアレクリエーション
バドミントンコート	バドミントンコート	アウトドアレクリエーション
野球グラウンド	野球グラウンド	アウトドアレクリエーション
バスケットボール場	バスケットボール場	アウトドアレクリエーション
ボーリンググリーン	ボーリンググリーン	アウトドアレクリエーション
カーリング場	カーリング場	アウトドアレクリエーション
ゴルフコース	ゴルフコース	アウトドアレクリエーション
ジム / フィットネスセンター	ジム / フィットネス	アウトドアレクリエーション
ボクシング​​ジム	ボクシング​​ジム	アウトドアレクリエーション
クライミングジム	クライミングジム	アウトドアレクリエーション
サイクルスタジオ	サイクルスタジオ	アウトドアレクリエーション
ジムのプール	プール	アウトドアレクリエーション
体操ジム	体操ジム	アウトドアレクリエーション
ジム	ジム	アウトドアレクリエーション
武術道場	武術	アウトドアレクリエーション
陸上トラック	陸上トラック	アウトドアレクリエーション
ヨガスタジオ	ヨガスタジオ	アウトドアレクリエーション
ホッケー場	ホッケー場	アウトドアレクリエーション
ホッケーリンク	ホッケーリンク	アウトドアレクリエーション
サバイバルゲーム場	サバイバルゲーム場	アウトドアレクリエーション
ラグビー場	競技場	アウトドアレクリエーション
スケート場	スケート場	アウトドアレクリエーション
スケートリンク	スケートリンク	アウトドアレクリエーション
サッカー場	サッカー場	アウトドアレクリエーション
スポーツクラブ	スポーツクラブ	アウトドアレクリエーション
スカッシュコート	スカッシュコート	アウトドアレクリエーション
テニスコート	テニスコート	アウトドアレクリエーション
バレーボールコート	バレーボールコート	アウトドアレクリエーション
浴場	浴場	アウトドアレクリエーション
遊泳場	遊泳場	アウトドアレクリエーション
湾	湾	アウトドアレクリエーション
海岸	海岸	アウトドアレクリエーション
ヌードビーチ	ヌードビーチ	アウトドアレクリエーション
サーフスポット	サーフスポット	アウトドアレクリエーション
バイクトレール	バイクトレール	アウトドアレクリエーション
植物園	植物園	アウトドアレクリエーション
橋	橋	アウトドアレクリエーション
キャンプ場	キャンプ場	アウトドアレクリエーション
運河の水門	運河の水門	アウトドアレクリエーション
運河	運河	アウトドアレクリエーション
城	城	アウトドアレクリエーション
洞窟	洞窟	アウトドアレクリエーション
墓地	墓地	アウトドアレクリエーション
ダイビングスポット	ダイビングスポット	アウトドアレクリエーション
ドッグラン	ドッグラン	アウトドアレクリエーション
農場	農場	アウトドアレクリエーション
野原	野原	アウトドアレクリエーション
釣り場	釣り場	アウトドアレクリエーション
森林	森林	アウトドアレクリエーション
噴水	噴水	アウトドアレクリエーション
庭園	庭園	アウトドアレクリエーション
射撃場	射撃場	アウトドアレクリエーション
港 / マリーナ	港 / マリーナ	アウトドアレクリエーション
温泉	温泉	アウトドアレクリエーション
島	島	アウトドアレクリエーション
湖沼	湖沼	アウトドアレクリエーション
灯台	灯台	アウトドアレクリエーション
山岳	山岳	アウトドアレクリエーション
国立公園	国立公園	アウトドアレクリエーション
自然保護地区	保護地区	アウトドアレクリエーション
その他の素晴らしいアウトドア	その他のアウトドア	アウトドアレクリエーション
宮殿	宮殿	アウトドアレクリエーション
公園	公園	アウトドアレクリエーション
歩行者天国	歩行者天国	アウトドアレクリエーション
遊び場	遊び場	アウトドアレクリエーション
広場	広場	アウトドアレクリエーション
プール	プール	アウトドアレクリエーション
ラフティング	ラフティング	アウトドアレクリエーション
リクリエーションセンター	リクリエーションセンター	アウトドアレクリエーション
貯水池	貯水池	アウトドアレクリエーション
河川	河川	アウトドアレクリエーション
ロッククライミング場	ロッククライミング	アウトドアレクリエーション
展望台	展望台	アウトドアレクリエーション
彫刻庭園	彫刻	アウトドアレクリエーション
スキー場	スキー場	アウトドアレクリエーション
スキー場のバー	スキー場のバー	アウトドアレクリエーション
スキーリフト	リフト	アウトドアレクリエーション
スキーコテージ	スキーコテージ	アウトドアレクリエーション
スキーロッジ	ロッジ	アウトドアレクリエーション
スキーコース	遊歩道	アウトドアレクリエーション
厩舎	厩舎	アウトドアレクリエーション
都道府県・自治体	都道府県・自治体	アウトドアレクリエーション
市	市区町村	アウトドアレクリエーション
郡	国	アウトドアレクリエーション
国	国	アウトドアレクリエーション
地域	地域	アウトドアレクリエーション
県	県	アウトドアレクリエーション
町	町	アウトドアレクリエーション
村	村	アウトドアレクリエーション
サマーキャンプ	サマーキャンプ	アウトドアレクリエーション
遊歩道	遊歩道	アウトドアレクリエーション
木	木	アウトドアレクリエーション
ブドウ園	ブドウ園	アウトドアレクリエーション
火山	火山	アウトドアレクリエーション
滝	滝	アウトドアレクリエーション
ウォーターフロント	ウォーターフロント	アウトドアレクリエーション
井戸	井戸	アウトドアレクリエーション
クリスマスマーケット	クリスマスマーケット	イベント
会議	会議	イベント
コンベンション	コンベンション	イベント
フェスティバル	フェスティバル	イベント
ミュージックフェスティバル	ミュージックフェスティバル	イベント
その他のイベント	その他のイベント	イベント
パレード	パレード	イベント
ガレージセール	ガレージセール	イベント
ストリートフェア	フェア / 催し物	イベント
大学の学部棟	学部棟	カレッジ大学
大学の文学科棟	芸術	カレッジ大学
大学のコミュニケーション科棟	コミュニケーション科	カレッジ大学
大学の工学科棟	工学科	カレッジ大学
大学の史学科棟	履歴	カレッジ大学
大学の数学科棟	数学科	カレッジ大学
大学の理学科棟	理学科	カレッジ大学
大学の技術科棟	技術科	カレッジ大学
大学の管理棟	管理棟	カレッジ大学
大学の講堂	講堂	カレッジ大学
大学の書店	College Bookstore	カレッジ大学
大学のカフェテリア	カフェテリア	カレッジ大学
大学の教室	教室	カレッジ大学
大学のジム	ジム	カレッジ大学
大学の研究室	研究室	カレッジ大学
大学の図書館	図書館	カレッジ大学
大学の共有スペース	共有	カレッジ大学
大学のレクリエーション施設	レクリエーション施設（センター）	カレッジ大学
大学の学生寮	学生寮	カレッジ大学
大学の競技場	競技場	カレッジ大学
大学の野球場	野球場	カレッジ大学
大学のバスケットボール場	バスケットボール場	カレッジ大学
大学のクリケット場	クリケット場	カレッジ大学
大学のフットボール場	フットボール場	カレッジ大学
大学のホッケーリンク	ホッケー場	カレッジ大学
大学のサッカー場	サッカー場	カレッジ大学
大学のテニスコート	テニスコート	カレッジ大学
大学の陸上競技場	陸上トラック	カレッジ大学
大学の劇場	劇場	カレッジ大学
コミュニティ・カレッジ	コミュニティ・カレッジ	カレッジ大学
男子学生クラブ	学生会館	カレッジ大学
カレッジ & 大学全般	教育	カレッジ大学
法科大学院	法科大学院	カレッジ大学
医科大学	医科大学	カレッジ大学
女子学生クラブ	女子学生クラブ	カレッジ大学
学生センター	学生センター	カレッジ大学
専門学校	専門学校	カレッジ大学
大学	大学	カレッジ大学
バー	バー	ナイトスポット
ビーチバー	ビーチバー	ナイトスポット
ビールバー	ビールバー	ナイトスポット
ビアガーデン	ビアガーデン	ナイトスポット
シャンパンバー	シャンパンバー	ナイトスポット
カクテルバー	カクテル	ナイトスポット
ダイブバー	ダイブバー	ナイトスポット
ゲイバー	ゲイバー	ナイトスポット
フーカバー	フーカバー	ナイトスポット
ホテルのバー	ホテルのバー	ナイトスポット
カラオケバー	カラオケ	ナイトスポット
パブ	パブ	ナイトスポット
居酒屋	居酒屋	ナイトスポット
スポーツバー	スポーツバー	ナイトスポット
ティキバー	ティキバー	ナイトスポット
ウィスキーバー	ウィスキーバー	ナイトスポット
ワインバー	ワインバー	ナイトスポット
醸造所	醸造所	ナイトスポット
ラウンジ	ラウンジ	ナイトスポット
深夜スーパー	深夜スーパー	ナイトスポット
ナイトクラブ	ナイトクラブ	ナイトスポット
その他の夜の娯楽	ナイトライフ	ナイトスポット
もぐり酒場	もぐり酒場	ナイトスポット
ストリップクラブ	ストリップクラブ	ナイトスポット
アフガニスタン料理店	アフガニスタン料理	フード
アフリカ料理店	アフリカ料理	フード
エチオピア料理店	エチオピア料理	フード
アメリカ料理店	アメリカ料理	フード
ニューアメリカ料理店	ニューアメリカ料理	フード
アジア料理店	アジア料理	フード
ビルマ料理店	ビルマ料理	フード
カンボジア料理店	カンボジア料理	フード
中華料理店	中華料理	フード
安徽料理店	安徽料理	フード
北京料理店	北京料理	フード
広東料理店	広東料理	フード
中国宮廷料理店	中国宮廷料理	フード
中華風朝食店	中華風朝食	フード
飲茶・点心レストラン	飲茶店	フード
中国東北料理店	中国東北料理	フード
福建料理店	福建料理	フード
貴州料理店	貴州料理	フード
海南料理店	海南料理	フード
客家料理店	客家料理	フード
河南料理店	河南料理	フード
香港料理店	香港料理	フード
淮揚料理店	淮揚料理	フード
湖北料理店	湖北料理	フード
湖南料理店	湖南料理	フード
皇帝料理店	皇帝料理	フード
江蘇料理店	江蘇料理	フード
江西料理店	江西料理	フード
マカオ料理店	マカオ料理	フード
満州料理店	満州料理	フード
北京ダック料理店	北京ダック	フード
陝西料理店	陝西料理	フード
山東料理店	山東料理	フード
上海料理店	上海料理	フード
山西料理店	山西料理	フード
四川料理店	四川料理	フード
台湾料理店	台湾料理	フード
天津料理店	天津料理	フード
新疆料理店	新疆料理	フード
雲南料理店	雲南料理	フード
浙江料理店	浙江料理	フード
フィリピン料理店	フィリピン料理	フード
ヒマラヤ料理店	ヒマラヤ料理	フード
火鍋料理店	火鍋料理	フード
インドネシア料理店	インドネシア料理	フード
Acehnese Restaurant	Acehnese	フード
Balinese Restaurant	Balinese	フード
Betawinese Restaurant	Betawinese	フード
インドネシアのミートボール料理店	インドネシアのミートボール料理店	フード
Javanese Restaurant	Javanese	フード
Manadonese Restaurant	Manadonese	フード
Padangnese Restaurant	Padangnese	フード
Sundanese Restaurant	Sundanese	フード
和食店	和食	フード
どんぶり屋	どんぶり	フード
カレーライス店	カレーライス	フード
懐石/会席料理店	懐石/会席	フード
串かつ屋	串かつ	フード
もんじゃ焼き屋	もんじゃ焼き	フード
鍋料理店	鍋料理	フード
お好み焼き屋	お好み焼き	フード
ラーメン屋	ラーメン	フード
しゃぶしゃぶ店	しゃぶしゃぶ	フード
蕎麦屋	蕎麦	フード
すき焼き店	すき焼き	フード
寿司屋	寿司	フード
たこ焼き屋	たこ焼き	フード
天ぷら料理店	天ぷら	フード
とんかつ屋	とんかつ	フード
うどん屋	うどん	フード
うなぎ屋	うなぎ	フード
和菓子屋	和菓子	フード
焼き鳥屋	焼き鳥	フード
洋食レストラン	洋食	フード
韓国料理店	韓国料理	フード
ボッサム/ヨクバルレストラン	ボッサム/ヨクバル	フード
プンシク（粉食）レストラン	プンシク（粉食）	フード
クッパレストラン	クッパ	フード
ジャンガー（鰻）レストラン	ジャンガー（鰻）	フード
サムゲタンレストラン	サムゲタン	フード
マレーシア料理店	マレーシア料理	フード
モンゴル料理店	モンゴル料理	フード
麺類店	麺類	フード
サテーレストラン	サテー	フード
タイ料理店	タイ料理	フード
ソムタムレストラン	ソムタム	フード
チベット料理店	チベット料理	フード
ベトナム料理店	ベトナム料理	フード
オーストラリア料理店	オーストラリア料理	フード
オーストリア料理店	オーストリア料理	フード
焼肉 / バーベキュー料理店	焼肉 / バーベキュー	フード
ベーグルショップ	ベーグル	フード
パン屋	パン屋	フード
ベルギー料理店	ベルギー料理	フード
ビストロ	ビストロ	フード
ブラジル料理店	ブラジル料理	フード
Acai House	Acai	フード
バイアーノ料理店	バイアーノ	フード
中央ブラジル料理店	中央ブラジル料理	フード
Churrascaria	Churrascaria	フード
Empada House	Empadas	フード
ゴイアーノ料理店	ゴイアーノ	フード
ミネイロ料理店	ミネイロ	フード
東北ブラジル料理店	東北ブラジル料理	フード
北ブラジル料理店	北ブラジル料理	フード
Pastelaria	Pastelaria	フード
南東ブラジル料理店	南東ブラジル料理	フード
南ブラジル料理店	南ブラジル料理	フード
Tapiocaria	Tapiocaria	フード
朝食スポット	朝食	フード
タピオカティー店	タピオカティー	フード
ビュッフェ	ビュッフェ	フード
ハンバーガーレストラン	ハンバーガー	フード
カフェテリア	カフェテリア	フード
カフェ	カフェ	フード
ケイジャン / クレオール料理店	ケイジャン / クレオール料理	フード
カリブ料理店	カリブ料理	フード
コーカサス料理店	コーカサス料理	フード
コーヒーショップ	コーヒーショップ	フード
伝統料理店	伝統料理	フード
クレープ屋	クレープ屋	フード
チェコ料理店	チェコ	フード
惣菜 / 弁当	惣菜 / 弁当	フード
惣菜 / 弁当屋	惣菜 / 弁当屋	フード
デザートショップ	デザート	フード
カップケーキ専門店	カップケーキ	フード
